,Quarter,Tm,Detail,GNB,NWE
0,1.0,Packers,John Brockington 4 yard rush (Chester Marcol kick),7,0
1,1.0,Packers,Perry Williams 6 yard rush (Chester Marcol kick),14,0
2,2.0,Patriots,Jeff White 19 yard field goal,14,3
3,2.0,Patriots,Jeff White 21 yard field goal,14,6
4,2.0,Patriots,Jeff White 26 yard field goal,14,9
5,2.0,Packers,Chester Marcol 33 yard field goal,17,9
6,3.0,Packers,Ken Ellis 47 yard interception return (Chester Marcol kick),24,9
7,3.0,Patriots,Bob Windsor 28 yard pass from Jim Plunkett (Jeff White kick),24,16
8,3.0,Patriots,Jeff White 18 yard field goal,24,19
9,4.0,Patriots,Reggie Rucker 63 yard pass from Jim Plunkett (Jeff White kick),24,26
10,4.0,Patriots,Jim Plunkett 1 yard rush (Jeff White kick),24,33
