,Quarter,Tm,Detail,RAM,SFO
0,1.0,Rams,David Ray 16 yard field goal,3,0
1,1.0,49ers,Vic Washington 1 yard rush (Bruce Gossett kick),3,7
2,1.0,Rams,Cullen Bryant 93 yard kickoff return (David Ray kick),10,7
3,2.0,49ers,Bruce Gossett 35 yard field goal,10,10
4,2.0,Rams,Lawrence McCutcheon 11 yard rush (David Ray kick),17,10
5,2.0,Rams,Harold Jackson 39 yard pass from John Hadl (David Ray kick),24,10
6,2.0,Rams,David Ray 19 yard field goal,27,10
7,3.0,49ers,Bruce Gossett 24 yard field goal,27,13
8,4.0,Rams,David Ray 27 yard field goal,30,13
9,4.0,Rams,David Ray 25 yard field goal,33,13
10,4.0,Rams,Tony Baker 1 yard rush (David Ray kick),40,13
11,4.0,49ers,Ted Kwalick 20 yard pass from Steve Spurrier (Bruce Gossett kick),40,20
