,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,Calvin Hill 6 yard rush (Toni Fritsch kick),0,7
1,2.0,Giants,Bob Tucker 4 yard pass from Norm Snead (Pete Gogolak kick),7,7
2,2.0,Cowboys,Toni Fritsch 18 yard field goal,7,10
3,2.0,Cowboys,Walt Garrison 6 yard rush (Toni Fritsch kick),7,17
4,3.0,Giants,Bob Grim 23 yard pass from Norm Snead (Pete Gogolak kick),14,17
5,3.0,Cowboys,Mike Montgomery 13 yard pass from Roger Staubach (Toni Fritsch kick),14,24
6,4.0,Cowboys,Walt Garrison 1 yard rush (Toni Fritsch kick),14,31
7,4.0,Cowboys,Billy Joe DuPree 21 yard pass from Roger Staubach (Toni Fritsch kick),14,38
8,4.0,Cowboys,D.D. Lewis special teams fumble recovery in end zone (Marv Bateman kick),14,45
9,4.0,Giants,Vince Clements 11 yard pass from Randy Johnson (Pete Gogolak kick),21,45
10,4.0,Giants,Bob Tucker 31 yard pass from Randy Johnson (Pete Gogolak kick),28,45
