,Quarter,Tm,Detail,PIT,DEN
0,1.0,Broncos,Otis Armstrong 45 yard pass from Charley Johnson (Jim Turner kick),0,7
1,1.0,Steelers,Steve Davis 61 yard pass from Joe Gilliam (Roy Gerela kick),7,7
2,1.0,Broncos,Haven Moses 7 yard pass from Charley Johnson (Jim Turner kick),7,14
3,1.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),7,21
4,2.0,Steelers,Joe Gilliam 1 yard rush (Roy Gerela kick),14,21
5,3.0,Steelers,Steve Davis 1 yard rush (Roy Gerela kick),21,21
6,3.0,Broncos,Riley Odoms 3 yard pass from Steve Ramsey (Jim Turner kick),21,28
7,3.0,Steelers,Steve Davis 1 yard rush (Roy Gerela kick),28,28
8,4.0,Steelers,John Fuqua 1 yard rush (Roy Gerela kick),35,28
9,4.0,Broncos,Otis Armstrong 23 yard pass from Steve Ramsey (Jim Turner kick),35,35
