,Quarter,Tm,Detail,NYG,KAN
0,1.0,Chiefs,Woody Green 1 yard rush (Jan Stenerud kick),0,7
1,1.0,Giants,Walker Gillette 7 yard pass from Craig Morton (Pete Gogolak kick),7,7
2,2.0,Giants,Ron Johnson 1 yard rush,13,7
3,2.0,Giants,Ron Johnson 1 yard rush (Pete Gogolak kick),20,7
4,2.0,Chiefs,Morris Stroud 8 yard pass from Len Dawson (Jan Stenerud kick),20,14
5,3.0,Giants,Pete Gogolak 33 yard field goal,23,14
6,4.0,Chiefs,Jan Stenerud 19 yard field goal,23,17
7,4.0,Giants,Pete Gogolak 35 yard field goal,26,17
8,4.0,Chiefs,Larry Brunson 23 yard pass from Len Dawson (Jan Stenerud kick),26,24
9,4.0,Giants,Joe Dawkins 51 yard pass from Craig Morton (Pete Gogolak kick),33,24
10,4.0,Chiefs,Jan Stenerud 42 yard field goal,33,27
