,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Don Cockroft 39 yard field goal,0,3
1,1.0,Oilers,Skip Butler 46 yard field goal,3,3
2,2.0,Browns,Hugh McKinnis 1 yard rush (Don Cockroft kick),3,10
3,2.0,Oilers,Mack Alston 6 yard pass from Dan Pastorini (Skip Butler kick),10,10
4,2.0,Oilers,Mack Alston 5 yard pass from Dan Pastorini (Skip Butler kick),17,10
5,2.0,Oilers,Skip Butler 33 yard field goal,20,10
6,3.0,Oilers,Billy Johnson 81 yard kickoff return (Skip Butler kick),27,10
7,3.0,Oilers,Skip Butler 25 yard field goal,30,10
8,3.0,Oilers,Skip Butler 21 yard field goal,33,10
9,4.0,Oilers,Mack Alston 11 yard pass from Dan Pastorini (Skip Butler kick),40,10
