,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Colts,Bert Jones 15 yard rush (Toni Linhart kick),7,0
1,1.0,Colts,Don McCauley 2 yard rush (Toni Linhart kick),14,0
2,2.0,Jets,Jerome Barkum 42 yard pass from Joe Namath (Pat Leahy kick),14,7
3,2.0,Colts,Marshall Johnson 15 yard pass from Bert Jones (Toni Linhart kick),21,7
4,2.0,Jets,Jerome Barkum 1 yard pass from Joe Namath (Pat Leahy kick),21,14
5,2.0,Colts,Toni Linhart 36 yard field goal,24,14
6,3.0,Colts,Marshall Johnson 68 yard pass from Bert Jones (Toni Linhart kick),31,14
7,3.0,Jets,Willie Brister offensive fumble recovery in end zone (Pat Leahy kick),31,21
8,4.0,Colts,Jackie Wallace 38 yard interception return (Toni Linhart kick),38,21
9,4.0,Jets,Eddie Bell 22 yard pass from Joe Namath (Pat Leahy kick),38,28
10,4.0,Colts,Lydell Mitchell 20 yard rush (Toni Linhart kick),45,28
