,Quarter,Tm,Detail,BAL,BUF
0,1.0,Bills,O.J. Simpson 44 yard rush (John Leypoldt kick),0,7
1,2.0,Bills,O.J. Simpson 22 yard pass from Joe Ferguson (John Leypoldt kick),0,14
2,2.0,Bills,O.J. Simpson 32 yard pass from Joe Ferguson (John Leypoldt kick),0,21
3,2.0,Colts,Lydell Mitchell 9 yard pass from Bert Jones (Toni Linhart kick),7,21
4,2.0,Bills,Bob Chandler 9 yard pass from Joe Ferguson (John Leypoldt kick),7,28
5,2.0,Colts,Bill Olds 15 yard pass from Marty Domres (Toni Linhart kick),14,28
6,2.0,Colts,Roger Carr 89 yard pass from Bert Jones (Toni Linhart kick),21,28
7,4.0,Colts,Lydell Mitchell 11 yard rush (Toni Linhart kick),28,28
8,4.0,Colts,Bert Jones 19 yard rush (Toni Linhart kick),35,28
9,4.0,Colts,Lydell Mitchell 12 yard rush (Toni Linhart kick),42,28
10,4.0,Bills,Bob Chandler 18 yard pass from Gary Marangi (John Leypoldt kick),42,35
