,Quarter,Tm,Detail,NWE,SDG
0,1.0,Chargers,Ray Wersching 41 yard field goal,0,3
1,1.0,Patriots,John Smith 38 yard field goal,3,3
2,1.0,Patriots,Bob Howard 44 yard interception return (John Smith kick),10,3
3,2.0,Chargers,Ray Wersching 30 yard field goal,10,6
4,2.0,Patriots,John Smith 19 yard field goal,13,6
5,2.0,Patriots,Sam Cunningham 4 yard rush (John Smith kick),20,6
6,2.0,Patriots,John Smith 35 yard field goal,23,6
7,3.0,Chargers,Ray Wersching 25 yard field goal,23,9
8,3.0,Patriots,Randy Vataha 13 yard pass from Steve Grogan (John Smith kick),30,9
9,3.0,Chargers,Gary Garrison 8 yard pass from Dan Fouts (Ray Wersching kick),30,16
10,4.0,Patriots,John Smith 46 yard field goal,33,16
11,4.0,Chargers,Ray Wersching 37 yard field goal,33,19
