,Quarter,Tm,Detail,ATL,RAM
0,1.0,Rams,Tom Dempsey 42 yard field goal,0,3
1,1.0,Rams,Lawrence McCutcheon 4 yard rush,0,9
2,2.0,Rams,Pat Haden 1 yard rush,0,15
3,2.0,Rams,Lawrence McCutcheon 1 yard rush,0,21
4,2.0,Rams,Tom Dempsey 29 yard field goal,0,24
5,3.0,Rams,Lawrence McCutcheon 1 yard rush (Tom Dempsey kick),0,31
6,3.0,Rams,Rod Phillips 9 yard rush (Tom Dempsey kick),0,38
7,4.0,Rams,James Harris 2 yard rush (Tom Dempsey kick),0,45
8,4.0,Rams,Dwight Scales 80 yard pass from James Harris (Tom Dempsey kick),0,52
9,4.0,Rams,Cullen Bryant 3 yard rush (Tom Dempsey kick),0,59
