,Quarter,Tm,Detail,HOU,NOR
0,1.0,Oilers,Ronnie Coleman 5 yard pass from Dan Pastorini (Skip Butler kick),7,0
1,2.0,Saints,Rich Szaro 20 yard field goal,7,3
2,2.0,Oilers,Skip Butler 31 yard field goal,10,3
3,2.0,Saints,Rich Szaro 26 yard field goal,10,6
4,3.0,Saints,Rich Szaro 43 yard field goal,10,9
5,3.0,Oilers,Billy Johnson 9 yard pass from Dan Pastorini (Skip Butler kick),17,9
6,3.0,Oilers,Ronnie Coleman 22 yard rush (Skip Butler kick),24,9
7,3.0,Oilers,C.L. Whittington 96 yard defensive fumble return (Skip Butler kick),31,9
8,4.0,Saints,Tinker Owens 60 yard pass from Bobby Scott (Rich Szaro kick),31,16
9,4.0,Saints,Rich Szaro 26 yard field goal,31,19
10,4.0,Saints,Henry Childs 4 yard pass from Bobby Douglass (Rich Szaro kick),31,26
