,Quarter,Tm,Detail,SEA,CIN
0,1.0,Bengals,Tony Davis 2 yard rush (Chris Bahr kick),0,7
1,1.0,Bengals,Pete Johnson 10 yard rush (Chris Bahr kick),0,14
2,1.0,Bengals,Ken Anderson 5 yard rush (Chris Bahr kick),0,21
3,2.0,Bengals,Reggie Williams 54 yard interception return (Chris Bahr kick),0,28
4,2.0,Seahawks,David Sims 82 yard pass from Jim Zorn (John Leypoldt kick),7,28
5,3.0,Seahawks,David Sims 2 yard rush (John Leypoldt kick),14,28
6,3.0,Seahawks,John Leypoldt 32 yard field goal,17,28
7,3.0,Seahawks,John Leypoldt 42 yard field goal,20,28
8,4.0,Bengals,Isaac Curtis 32 yard pass from Ken Anderson (Chris Bahr kick),20,35
9,4.0,Bengals,Lenvil Elliott 18 yard pass from Archie Griffin (Chris Bahr kick),20,42
