,Quarter,Tm,Detail,KAN,SDG
0,1,Chargers,Hank Bauer 1 yard rush,0,6
1,2,Chiefs,Jan Stenerud 39 yard field goal,3,6
2,2,Chargers,Hank Bauer 1 yard rush (Rolf Benirschke kick),3,13
3,2,Chiefs,Jan Stenerud 20 yard field goal,6,13
4,3,Chiefs,Arnold Morgado 1 yard rush (Jan Stenerud kick),13,13
5,3,Chargers,John Jefferson 46 yard pass from Dan Fouts (Rolf Benirschke kick),13,20
6,4,Chiefs,Arnold Morgado 5 yard rush (Jan Stenerud kick),20,20
7,4,Chargers,Rolf Benirschke 28 yard field goal,20,23
8,4,Chiefs,Jan Stenerud 47 yard field goal,23,23
9,OT,Chargers,John Jefferson 14 yard pass from Dan Fouts,23,29
