,Quarter,Tm,Detail,MIA,HOU
0,1.0,Dolphins,Nat Moore 10 yard pass from Bob Griese (Garo Yepremian kick),7,0
1,1.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),7,7
2,2.0,Oilers,Mike Barber 15 yard pass from Dan Pastorini (Toni Fritsch kick),7,14
3,2.0,Dolphins,Delvin Williams 1 yard rush (Garo Yepremian kick),14,14
4,3.0,Oilers,Earl Campbell 6 yard rush (Toni Fritsch kick),14,21
5,3.0,Dolphins,Leroy Harris 1 yard rush (Garo Yepremian kick),21,21
6,4.0,Dolphins,"Safety, Duhe tackled Pastorini in end zone",23,21
7,4.0,Oilers,Earl Campbell 12 yard rush (Toni Fritsch kick),23,28
8,4.0,Oilers,Earl Campbell 81 yard rush (Toni Fritsch kick),23,35
9,4.0,Dolphins,Jimmy Cefalo 11 yard pass from Bob Griese (Garo Yepremian kick),30,35
