,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,John Riggins 7 yard rush (Mark Moseley kick),0,7
1,1.0,Cardinals,Theotis Brown 1 yard rush (Steve Little kick),7,7
2,2.0,Redskins,Mark Moseley 46 yard field goal,7,10
3,2.0,Redskins,Ricky Thompson 8 yard pass from Joe Theismann (Mark Moseley kick),7,17
4,3.0,Redskins,Mark Moseley 27 yard field goal,7,20
5,4.0,Redskins,John Riggins 4 yard pass from Joe Theismann (Mark Moseley kick),7,27
6,4.0,Cardinals,Wayne Morris 2 yard rush (Steve Little kick),14,27
7,4.0,Cardinals,Theotis Brown 1 yard rush (Steve Little kick),21,27
8,4.0,Cardinals,Ottis Anderson 21 yard pass from Jim Hart (Steve Little kick),28,27
9,4.0,Redskins,Mark Moseley 39 yard field goal,28,30
