,Quarter,Tm,Detail,SEA,OAK
0,1.0,Raiders,Lester Hayes 30 yard interception return (Jim Breech kick),0,7
1,1.0,Seahawks,Sherman Smith 1 yard rush (Efren Herrera kick),7,7
2,1.0,Seahawks,Efren Herrera 24 yard field goal,10,7
3,2.0,Raiders,Jim Breech 20 yard field goal,10,10
4,2.0,Seahawks,Sam McCullum 65 yard pass from Jim Zorn (Efren Herrera kick),17,10
5,2.0,Raiders,Arthur Whittington 2 yard rush (Jim Breech kick),17,17
6,3.0,Seahawks,Dan Doornink 17 yard pass from Jim Zorn (Efren Herrera kick),24,17
7,3.0,Seahawks,"Safety, ball snapped out of end zone",26,17
8,4.0,Seahawks,Efren Herrera 43 yard field goal,29,17
9,4.0,Raiders,Mark van Eeghen 2 yard pass from Ken Stabler (Jim Breech kick),29,24
