,Quarter,Tm,Detail,HOU,WAS
0,1.0,Oilers,Toni Fritsch 41 yard field goal,3,0
1,1.0,Oilers,Toni Fritsch 46 yard field goal,6,0
2,2.0,Redskins,Mark Moseley 27 yard field goal,6,3
3,2.0,Redskins,Jean Fugett 8 yard pass from Joe Theismann (Mark Moseley kick),6,10
4,2.0,Redskins,Benny Malone 1 yard rush (Mark Moseley kick),6,17
5,3.0,Oilers,Earl Campbell 13 yard rush (Toni Fritsch kick),13,17
6,3.0,Redskins,Jean Fugett 30 yard pass from Joe Theismann (Mark Moseley kick),13,24
7,4.0,Redskins,Mark Moseley 39 yard field goal,13,27
8,4.0,Oilers,Billy Johnson 14 yard pass from Dan Pastorini,19,27
9,4.0,Oilers,Toni Fritsch 26 yard field goal,22,27
10,4.0,Oilers,Earl Campbell 3 yard rush (Toni Fritsch kick),29,27
