,Quarter,Tm,Detail,TAM,BAL
0,1,Colts,Don Hardeman 4 yard pass from Greg Landry (Toni Linhart kick),0,7
1,1,Colts,Toni Linhart 24 yard field goal,0,10
2,1,Colts,Don Hardeman 1 yard rush (Toni Linhart kick),0,17
3,2,Buccaneers,Ricky Bell 1 yard rush,6,17
4,2,Buccaneers,Isaac Hagins 9 yard pass from Doug Williams (Neil O'Donoghue kick),13,17
5,4,Buccaneers,Mike Washington 49 yard interception return (Neil O'Donoghue kick),20,17
6,4,Buccaneers,Gordon Jones 36 yard pass from Doug Williams,26,17
7,4,Colts,Brian DeRoo 67 yard pass from Greg Landry,26,23
8,4,Colts,Toni Linhart 38 yard field goal,26,26
9,OT,Buccaneers,Neil O'Donoghue 31 yard field goal,29,26
