,Quarter,Tm,Detail,ATL,STL
0,1,Cardinals,Chris Combs 38 yard pass from Jim Hart (Neil O'Donoghue kick),0,7
1,1,Falcons,Tim Mazzetti 42 yard field goal,3,7
2,1,Cardinals,Pat Tilley 50 yard pass from Jim Hart (Neil O'Donoghue kick),3,14
3,1,Cardinals,Neil O'Donoghue 34 yard field goal,3,17
4,2,Falcons,Tim Mazzetti 44 yard field goal,6,17
5,2,Cardinals,Ottis Anderson 8 yard rush (Neil O'Donoghue kick),6,24
6,3,Falcons,Lynn Cain 5 yard rush (Tim Mazzetti kick),13,24
7,3,Cardinals,Neil O'Donoghue 37 yard field goal,13,27
8,3,Falcons,Wallace Francis 27 yard pass from Steve Bartkowski (Tim Mazzetti kick),20,27
9,4,Falcons,Lynn Cain 10 yard rush (Tim Mazzetti kick),27,27
10,OT,Falcons,Ray Strong 21 yard rush,33,27
