,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Earnest Gray 25 yard pass from Phil Simms (Joe Danelo kick),0,7
1,1.0,Cowboys,Tony Dorsett 1 yard rush (Rafael Septien kick),7,7
2,2.0,Giants,Larry Heater 1 yard rush (Joe Danelo kick),7,14
3,2.0,Cowboys,Robert Newhouse 1 yard rush (Rafael Septien kick),14,14
4,2.0,Giants,George Martin 4 yard pass from Phil Simms (Joe Danelo kick),14,21
5,2.0,Giants,Leon Perry 1 yard rush (Joe Danelo kick),14,28
6,2.0,Cowboys,Ron Springs 58 yard pass from Danny White (Rafael Septien kick),21,28
7,3.0,Cowboys,Robert Newhouse 29 yard rush (Rafael Septien kick),28,28
8,3.0,Cowboys,Tony Dorsett 13 yard rush (Rafael Septien kick),35,28
9,4.0,Giants,Tom Mullady 20 yard pass from Phil Simms (Joe Danelo kick),35,35
10,4.0,Giants,Joe Danelo 27 yard field goal,35,38
