,Quarter,Tm,Detail,SDG,WAS
0,1.0,Redskins,Joe Lavender 51 yard interception return (Mark Moseley kick),0,7
1,1.0,Redskins,Wilbur Jackson 18 yard pass from Joe Theismann (Mark Moseley kick),0,14
2,1.0,Chargers,Greg McCrary 28 yard pass from Dan Fouts (Rolf Benirschke kick),7,14
3,2.0,Redskins,Mark Moseley 28 yard field goal,7,17
4,2.0,Chargers,Rolf Benirschke 26 yard field goal,10,17
5,2.0,Redskins,Mark Moseley 45 yard field goal,10,20
6,3.0,Redskins,Mark Moseley 46 yard field goal,10,23
7,3.0,Redskins,Mark Moseley 46 yard field goal,10,26
8,4.0,Chargers,Hank Bauer 2 yard rush (Rolf Benirschke kick),17,26
9,4.0,Redskins,Ike Forte 4 yard pass from Joe Theismann (Mark Moseley kick),17,33
10,4.0,Redskins,Ike Forte 3 yard rush (Mark Moseley kick),17,40
