,Quarter,Tm,Detail,ATL,NWE
0,1.0,Patriots,Don Hasselbeck 9 yard pass from Steve Grogan (John Smith kick),0,7
1,1.0,Falcons,William Andrews 1 yard rush (Tim Mazzetti kick),7,7
2,1.0,Falcons,Wallace Francis 28 yard pass from Steve Bartkowski (Tim Mazzetti kick),14,7
3,2.0,Patriots,Don Calhoun 1 yard rush (John Smith kick),14,14
4,2.0,Falcons,Junior Miller 12 yard pass from Steve Bartkowski (Tim Mazzetti kick),21,14
5,2.0,Falcons,Junior Miller 22 yard pass from Steve Bartkowski (Tim Mazzetti kick),28,14
6,2.0,Patriots,Stanley Morgan 25 yard pass from Steve Grogan (John Smith kick),28,21
7,3.0,Falcons,Tim Mazzetti 26 yard field goal,31,21
8,4.0,Falcons,Tim Mazzetti 27 yard field goal,34,21
9,4.0,Falcons,Tim Mazzetti 39 yard field goal,37,21
