,Quarter,Tm,Detail,NWE,BAL
0,1.0,Patriots,Harold Jackson 37 yard pass from Steve Grogan (John Smith kick),7,0
1,1.0,Colts,Cleveland Franklin 1 yard rush (Steve Mike-Mayer kick),7,7
2,2.0,Patriots,John Smith 27 yard field goal,10,7
3,2.0,Colts,Don McCauley 3 yard pass from Bert Jones (Steve Mike-Mayer kick),10,14
4,3.0,Patriots,Don Calhoun 19 yard rush (John Smith kick),17,14
5,3.0,Colts,Reese McCall 8 yard pass from Bert Jones (Steve Mike-Mayer kick),17,21
6,3.0,Patriots,Horace Ivory 98 yard kickoff return (John Smith kick),24,21
7,3.0,Patriots,John Smith 29 yard field goal,27,21
8,4.0,Patriots,John Smith 37 yard field goal,30,21
9,4.0,Patriots,Chuck Foreman 1 yard rush (John Smith kick),37,21
