,Quarter,Tm,Detail,MIN,WAS
0,1.0,Vikings,Rickey Young 5 yard pass from Steve Dils (Rick Danmeier kick),7,0
1,2.0,Vikings,Joe Senser 2 yard pass from Steve Dils (Rick Danmeier kick),14,0
2,2.0,Vikings,"Safety, Holloway tackled Theismann in end zone",16,0
3,2.0,Vikings,Keith Nord 70 yard kickoff return (Rick Danmeier kick),23,0
4,2.0,Redskins,Clarence Harmon 1 yard pass from Joe Theismann (Mark Moseley kick),23,7
5,3.0,Redskins,Clarence Harmon 1 yard rush (Mark Moseley kick),23,14
6,3.0,Vikings,Rickey Young 3 yard rush (Rick Danmeier kick),30,14
7,4.0,Vikings,Rick Danmeier 31 yard field goal,33,14
8,4.0,Vikings,Rick Danmeier 27 yard field goal,36,14
9,4.0,Vikings,Rick Danmeier 35 yard field goal,39,14
