,Quarter,Tm,Detail,WAS,NYG
0,1,Giants,Johnny Perkins 6 yard pass from Phil Simms (Joe Danelo kick),0,7
1,1,Redskins,Ricky Thompson 9 yard pass from Joe Theismann (Mark Moseley kick),7,7
2,2,Giants,Louis Jackson 4 yard rush (pass failed),7,13
3,2,Redskins,Mark Moseley 25 yard field goal,10,13
4,3,Giants,Leon Bright 1 yard rush (Joe Danelo kick),10,20
5,3,Redskins,John Riggins 1 yard rush (Mark Moseley kick),17,20
6,4,Redskins,Don Warren 3 yard pass from Joe Theismann (Mark Moseley kick),24,20
7,4,Giants,John Mistler 27 yard pass from Scott Brunner (Joe Danelo kick),24,27
8,4,Redskins,Mark Moseley 49 yard field goal,27,27
9,OT,Redskins,Mark Moseley 48 yard field goal,30,27
