,Quarter,Tm,Detail,CIN,ATL
0,1.0,Bengals,M.L. Harris 21 yard pass from Ken Anderson (Jim Breech kick),7,0
1,1.0,Bengals,Jim Breech 45 yard field goal,10,0
2,2.0,Falcons,Lynn Cain 10 yard pass from Steve Bartkowski (Mick Luckhurst kick),10,7
3,2.0,Bengals,Cris Collinsworth 74 yard pass from Ken Anderson (Jim Breech kick),17,7
4,2.0,Bengals,Archie Griffin 18 yard rush (Jim Breech kick),24,7
5,2.0,Falcons,William Andrews 1 yard rush (Mick Luckhurst kick),24,14
6,2.0,Falcons,William Andrews 1 yard rush (Mick Luckhurst kick),24,21
7,2.0,Bengals,Jim Breech 29 yard field goal,27,21
8,4.0,Bengals,Jim Breech 20 yard field goal,30,21
9,4.0,Falcons,Lynn Cain 3 yard rush (Mick Luckhurst kick),30,28
