,Quarter,Tm,Detail,SDG,CLE
0,1.0,Chargers,James Brooks 4 yard rush (Rolf Benirschke kick),7,0
1,1.0,Chargers,Rolf Benirschke 50 yard field goal,10,0
2,2.0,Browns,Ricky Feacher 18 yard pass from Brian Sipe (Dave Jacobs kick),10,7
3,2.0,Chargers,Chuck Muncie 9 yard rush (Rolf Benirschke kick),17,7
4,2.0,Chargers,Rolf Benirschke 43 yard field goal,20,7
5,3.0,Chargers,James Brooks 13 yard pass from Dan Fouts (Rolf Benirschke kick),27,7
6,3.0,Browns,Greg Pruitt 4 yard pass from Brian Sipe (Dave Jacobs kick),27,14
7,3.0,Chargers,Hank Bauer 4 yard pass from Dan Fouts (Rolf Benirschke kick),34,14
8,4.0,Chargers,Rolf Benirschke 32 yard field goal,37,14
9,4.0,Chargers,Ron Smith 38 yard pass from Dan Fouts (Rolf Benirschke kick),44,14
