,Quarter,Tm,Detail,CIN,NYJ
0,2.0,Jets,Jerome Barkum 40 yard pass from Richard Todd (Pat Leahy kick),0,7
1,2.0,Jets,Wesley Walker 14 yard pass from Richard Todd (Pat Leahy kick),0,14
2,2.0,Bengals,Jim Breech 44 yard field goal,3,14
3,2.0,Jets,Pat Leahy 49 yard field goal,3,17
4,2.0,Bengals,Steve Kreider 7 yard pass from Ken Anderson (Jim Breech kick),10,17
5,3.0,Jets,Pat Leahy 23 yard field goal,10,20
6,3.0,Bengals,Archie Griffin 1 yard rush (Jim Breech kick),17,20
7,4.0,Jets,Pat Leahy 27 yard field goal,17,23
8,4.0,Bengals,Archie Griffin 3 yard pass from Ken Anderson (Jim Breech kick),24,23
9,4.0,Bengals,Mike St. Clair 12 yard defensive fumble return (Jim Breech kick),31,23
10,4.0,Jets,Jerome Barkum 8 yard pass from Richard Todd (Pat Leahy kick),31,30
