,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chiefs,Ted McKnight 1 yard rush (Nick Lowery kick),0,7
1,1.0,Chargers,Kellen Winslow 13 yard pass from Dan Fouts (Rolf Benirschke kick),7,7
2,1.0,Chargers,James Brooks 29 yard pass from Dan Fouts (Rolf Benirschke kick),14,7
3,2.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),21,7
4,2.0,Chargers,Eric Sievers 12 yard pass from Dan Fouts (Rolf Benirschke kick),28,7
5,2.0,Chiefs,Al Dixon 7 yard pass from Bill Kenney (Nick Lowery kick),28,14
6,3.0,Chiefs,Ted McKnight 3 yard rush (Nick Lowery kick),28,21
7,3.0,Chargers,Chuck Muncie 3 yard rush (Rolf Benirschke kick),35,21
8,3.0,Chiefs,Billy Jackson 4 yard rush (Nick Lowery kick),35,28
9,4.0,Chiefs,Nick Lowery 37 yard field goal,35,31
10,4.0,Chargers,Gary Johnson 5 yard interception return (Rolf Benirschke kick),42,31
