,Quarter,Tm,Detail,CIN,BAL
0,1.0,Bengals,Jim Breech 38 yard field goal,3,0
1,2.0,Colts,"Safety, Taylor blocked McInallys punt in end zone",3,2
2,2.0,Colts,Mike Wood 19 yard field goal,3,5
3,2.0,Bengals,Cris Collinsworth 18 yard pass from Ken Anderson (Jim Breech kick),10,5
4,2.0,Bengals,David Verser 20 yard pass from Ken Anderson (Jim Breech kick),17,5
5,3.0,Bengals,Dan Ross 2 yard pass from Ken Anderson (Jim Breech kick),24,5
6,4.0,Colts,Cleveland Franklin 1 yard rush (Mike Wood kick),24,12
7,4.0,Bengals,Jim Breech 24 yard field goal,27,12
8,4.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),34,12
9,4.0,Colts,Reese McCall 65 yard pass from Bert Jones (Mike Wood kick),34,19
10,4.0,Bengals,Jimmy Hargrove 1 yard rush (Jim Breech kick),41,19
