,Quarter,Tm,Detail,MIN,SDG
0,1.0,Chargers,Chuck Muncie 2 yard rush (Rolf Benirschke kick),0,7
1,2.0,Vikings,Rickey Young 15 yard pass from Tommy Kramer (Rick Danmeier kick),7,7
2,2.0,Vikings,Ted Brown 4 yard pass from Tommy Kramer (Rick Danmeier kick),14,7
3,2.0,Chargers,Dwight Scales 60 yard pass from Dan Fouts (Rolf Benirschke kick),14,14
4,3.0,Chargers,Rolf Benirschke 39 yard field goal,14,17
5,3.0,Vikings,Terry LeCount 26 yard pass from Tommy Kramer (Rick Danmeier kick),21,17
6,3.0,Chargers,Charlie Joiner 38 yard pass from Dan Fouts (Rolf Benirschke kick),21,24
7,3.0,Vikings,Rick Danmeier 28 yard field goal,24,24
8,4.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),24,31
9,4.0,Vikings,Terry LeCount 43 yard pass from Tommy Kramer,30,31
10,4.0,Vikings,Rick Danmeier 38 yard field goal,33,31
