,Quarter,Tm,Detail,CHI,DET
0,1.0,Lions,Eric Hipple 1 yard rush (Eddie Murray kick),0,7
1,1.0,Bears,Marcus Anderson 85 yard pass from Vince Evans (John Roveto kick),7,7
2,1.0,Lions,Eddie Murray 49 yard field goal,7,10
3,2.0,Lions,Eric Hipple 4 yard rush (Eddie Murray kick),7,17
4,2.0,Bears,Walter Payton 1 yard rush (John Roveto kick),14,17
5,2.0,Lions,Rick Kane 2 yard pass from Eric Hipple (Eddie Murray kick),14,24
6,2.0,Lions,Eddie Murray 53 yard field goal,14,27
7,3.0,Lions,David Hill 10 yard pass from Eric Hipple (Eddie Murray kick),14,34
8,4.0,Bears,John Roveto 22 yard field goal,17,34
9,4.0,Lions,Freddie Scott 44 yard pass from Eric Hipple (Eddie Murray kick),17,41
10,4.0,Lions,Leonard Thompson 94 yard pass from Eric Hipple (Eddie Murray kick),17,48
