,Quarter,Tm,Detail,SEA,GNB
0,1.0,Seahawks,John Harris 42 yard interception return (Efren Herrera kick),7,0
1,1.0,Packers,Paul Coffman 7 yard pass from David Whitehurst (Jan Stenerud kick),7,7
2,2.0,Seahawks,Dan Doornink 12 yard pass from Jim Zorn (Efren Herrera kick),14,7
3,2.0,Packers,David Whitehurst 1 yard rush (Jan Stenerud kick),14,14
4,2.0,Packers,James Lofton 8 yard pass from David Whitehurst (Jan Stenerud kick),14,21
5,2.0,Seahawks,Dan Doornink 14 yard pass from Jim Zorn (Efren Herrera kick),21,21
6,3.0,Seahawks,Efren Herrera 54 yard field goal,24,21
7,3.0,Packers,James Lofton 38 yard pass from David Whitehurst (Jan Stenerud kick),24,28
8,4.0,Packers,Jan Stenerud 19 yard field goal,24,31
9,4.0,Packers,Jan Stenerud 36 yard field goal,24,34
