,Quarter,Tm,Detail,MIN,DET
0,1.0,Lions,Leonard Thompson 70 yard pass from Gary Danielson (Eddie Murray kick),0,7
1,1.0,Vikings,Terry LeCount 15 yard pass from Tommy Kramer (Rick Danmeier kick),7,7
2,2.0,Vikings,Leo Lewis 5 yard pass from Tommy Kramer (Rick Danmeier kick),14,7
3,2.0,Vikings,Rick Danmeier 20 yard field goal,17,7
4,2.0,Vikings,Leo Lewis 39 yard pass from Tommy Kramer (Rick Danmeier kick),24,7
5,3.0,Lions,Eddie Murray 24 yard field goal,24,10
6,4.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),24,17
7,4.0,Vikings,Rick Danmeier 25 yard field goal,27,17
8,4.0,Vikings,Charlie Johnson 44 yard defensive fumble return (Rick Danmeier kick),34,17
9,4.0,Lions,Horace King 7 yard pass from Gary Danielson (Eddie Murray kick),34,24
10,4.0,Lions,Leonard Thompson 1 yard pass from Gary Danielson (Eddie Murray kick),34,31
