,Quarter,Tm,Detail,NYJ,KAN
0,1.0,Jets,Pat Leahy 30 yard field goal,3,0
1,1.0,Jets,Pat Leahy 20 yard field goal,6,0
2,1.0,Chiefs,Carlos Carson 28 yard pass from Bill Kenney (Nick Lowery kick),6,7
3,2.0,Chiefs,Henry Marshall 13 yard pass from Bill Kenney (Nick Lowery kick),6,14
4,2.0,Chiefs,Gary Green 42 yard interception return (Nick Lowery kick),6,21
5,2.0,Chiefs,Nick Lowery 44 yard field goal,6,24
6,2.0,Chiefs,Nick Lowery 43 yard field goal,6,27
7,4.0,Chiefs,Henry Marshall 5 yard pass from Bill Kenney (Nick Lowery kick),6,34
8,4.0,Chiefs,Nick Lowery 44 yard field goal,6,37
9,4.0,Jets,Mickey Shuler 10 yard pass from Pat Ryan (Pat Leahy kick),13,37
