,Quarter,Tm,Detail,ATL,MIN
0,1.0,Falcons,Doug Rogers special teams fumble recovery in end zone (Mick Luckhurst kick),7,0
1,1.0,Vikings,Rick Danmeier 33 yard field goal,7,3
2,2.0,Vikings,Sammy White 36 yard pass from Tommy Kramer (Rick Danmeier kick),7,10
3,2.0,Vikings,Rick Danmeier 30 yard field goal,7,13
4,3.0,Falcons,Mick Luckhurst 17 yard rush (Mick Luckhurst kick),14,13
5,3.0,Falcons,Bob Glazebrook 35 yard interception return (Mick Luckhurst kick),21,13
6,3.0,Vikings,Rick Danmeier 39 yard field goal,21,16
7,4.0,Vikings,Sam McCullum 11 yard pass from Tommy Kramer (Rick Danmeier kick),21,23
8,4.0,Falcons,Mick Luckhurst 41 yard field goal,24,23
9,4.0,Vikings,Ted Brown 5 yard rush (Rick Danmeier kick),24,30
