,Quarter,Tm,Detail,PIT,HOU
0,1.0,Steelers,Gary Anderson 49 yard field goal,3,0
1,1.0,Oilers,Carl Roaches 97 yard kickoff return (Florian Kempf kick),3,7
2,1.0,Steelers,Gary Anderson 35 yard field goal,6,7
3,2.0,Steelers,Gary Anderson 20 yard field goal,9,7
4,2.0,Steelers,Gary Anderson 22 yard field goal,12,7
5,3.0,Steelers,Franco Harris 6 yard rush (Gary Anderson kick),19,7
6,3.0,Steelers,Walter Abercrombie 30 yard pass from Cliff Stoudt (Gary Anderson kick),26,7
7,4.0,Steelers,Bryan Hinkle 14 yard interception return (Gary Anderson kick),33,7
8,4.0,Oilers,Larry Moriarty 1 yard rush (Florian Kempf kick),33,14
9,4.0,Oilers,Earl Campbell 1 yard rush (Florian Kempf kick),33,21
10,4.0,Steelers,Walter Abercrombie 50 yard rush (Gary Anderson kick),40,21
11,4.0,Oilers,Herkie Walls 28 yard pass from Archie Manning (Florian Kempf kick),40,28
