,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Dan Doornink 2 yard rush (Norm Johnson kick),0,7
1,1.0,Chargers,Charlie Joiner 25 yard pass from Dan Fouts (Rolf Benirschke kick),7,7
2,1.0,Seahawks,Steve Largent 5 yard pass from Jim Zorn (Norm Johnson kick),7,14
3,2.0,Seahawks,Norm Johnson 33 yard field goal,7,17
4,2.0,Chargers,Rolf Benirschke 26 yard field goal,10,17
5,3.0,Seahawks,Norm Johnson 43 yard field goal,10,20
6,3.0,Seahawks,Paul Moyer 19 yard interception return (Norm Johnson kick),10,27
7,4.0,Chargers,Eric Sievers 26 yard pass from Dan Fouts (Rolf Benirschke kick),17,27
8,4.0,Seahawks,Steve Largent 41 yard pass from Jim Zorn (Norm Johnson kick),17,34
9,4.0,Chargers,Bobby Duckworth 44 yard pass from Dan Fouts (Rolf Benirschke kick),24,34
10,4.0,Chargers,Eric Sievers 27 yard pass from Dan Fouts (Rolf Benirschke kick),31,34
