,Quarter,Tm,Detail,KAN,CIN
0,1.0,Chiefs,Theotis Brown 5 yard rush (Nick Lowery kick),7,0
1,2.0,Chiefs,Anthony Hancock 46 yard pass from Todd Blackledge (Nick Lowery kick),14,0
2,2.0,Bengals,Ray Horton 18 yard interception return (Jim Breech kick),14,7
3,2.0,Bengals,Charles Alexander 2 yard rush (Jim Breech kick),14,14
4,3.0,Bengals,Jim Breech 18 yard field goal,14,17
5,3.0,Chiefs,Carlos Carson 29 yard pass from Todd Blackledge (Nick Lowery kick),21,17
6,3.0,Chiefs,Nick Lowery 52 yard field goal,24,17
7,4.0,Bengals,"Safety, ball fumbled out of end zone",24,19
8,4.0,Bengals,Jim Breech 29 yard field goal,24,22
9,4.0,Chiefs,Nick Lowery 40 yard field goal,27,22
