,Quarter,Tm,Detail,SEA,NWE
0,1.0,Seahawks,Norm Johnson 42 yard field goal,3,0
1,1.0,Seahawks,Daryl Turner 41 yard pass from Dave Krieg,9,0
2,2.0,Seahawks,Paul Johns 47 yard punt return (Norm Johnson kick),16,0
3,2.0,Seahawks,Kenny Easley 25 yard interception return (Norm Johnson kick),23,0
4,2.0,Patriots,Tony Eason 25 yard rush (Tony Franklin kick),23,7
5,3.0,Patriots,Derrick Ramsey 2 yard pass from Tony Eason (Tony Franklin kick),23,14
6,3.0,Patriots,Mosi Tatupu 1 yard rush (Tony Franklin kick),23,21
7,4.0,Patriots,Tony Franklin 32 yard field goal,23,24
8,4.0,Patriots,Mosi Tatupu 10 yard rush (Tony Franklin kick),23,31
9,4.0,Patriots,Irving Fryar 15 yard pass from Tony Eason (Tony Franklin kick),23,38
