,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Bills,Joe Danelo 52 yard field goal,0,3
1,1.0,Bills,Van Williams 1 yard pass from Joe Ferguson (Joe Danelo kick),0,10
2,2.0,Jets,Tony Paige 2 yard rush (Pat Leahy kick),7,10
3,2.0,Jets,Wesley Walker 12 yard pass from Pat Ryan (Pat Leahy kick),14,10
4,2.0,Jets,Wesley Walker 44 yard pass from Pat Ryan (Pat Leahy kick),21,10
5,3.0,Bills,Joe Danelo 36 yard field goal,21,13
6,3.0,Bills,Joe Danelo 27 yard field goal,21,16
7,3.0,Bills,Joe Danelo 20 yard field goal,21,19
8,4.0,Jets,Wesley Walker 36 yard pass from Pat Ryan (Pat Leahy kick),28,19
9,4.0,Bills,Julius Dawkins 31 yard pass from Joe Ferguson (Joe Danelo kick),28,26
