,Quarter,Tm,Detail,DAL,CIN
0,1.0,Bengals,"Safety, Browner tackled D. White in end zone",0,2
1,1.0,Bengals,Larry Kinnebrew 3 yard rush (Jim Breech kick),0,9
2,1.0,Bengals,Eddie Brown 45 yard pass from Boomer Esiason (Jim Breech kick),0,16
3,1.0,Bengals,James Brooks 27 yard rush (pass failed),0,22
4,2.0,Cowboys,Rafael Septien 21 yard field goal,3,22
5,3.0,Bengals,Steve Kreider 29 yard pass from Boomer Esiason (Jim Breech kick),3,29
6,3.0,Bengals,James Brooks 18 yard rush (Jim Breech kick),3,36
7,3.0,Cowboys,Mike Renfro 9 yard pass from Danny White (Rafael Septien kick),10,36
8,3.0,Bengals,Cris Collinsworth 58 yard pass from Boomer Esiason (Jim Breech kick),10,43
9,4.0,Bengals,Charles Alexander 1 yard rush (Jim Breech kick),10,50
10,4.0,Cowboys,Doug Cosbie 1 yard pass from Danny White (Rafael Septien kick),17,50
11,4.0,Cowboys,Jesse Penn 46 yard blocked punt return (Rafael Septien kick),24,50
