,Quarter,Tm,Detail,NWE,MIA
0,1.0,Dolphins,Joe Rose 6 yard pass from Dan Marino (Fuad Reveiz kick),0,7
1,1.0,Patriots,Irving Fryar 10 yard pass from Tony Eason (Tony Franklin kick),7,7
2,2.0,Dolphins,Fuad Reveiz 44 yard field goal,7,10
3,2.0,Dolphins,Ron Davenport 1 yard rush (Fuad Reveiz kick),7,17
4,3.0,Patriots,Tony Franklin 22 yard field goal,10,17
5,3.0,Dolphins,Fuad Reveiz 49 yard field goal,10,20
6,4.0,Patriots,Tony Franklin 49 yard field goal,13,20
7,4.0,Dolphins,Ron Davenport 1 yard rush (Fuad Reveiz kick),13,27
8,4.0,Patriots,Mosi Tatupu 1 yard rush (Tony Franklin kick),20,27
9,4.0,Patriots,Cedric Jones 15 yard special teams fumble return (Tony Franklin kick),27,27
10,4.0,Dolphins,Fuad Reveiz 47 yard field goal,27,30
