,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Rafael Septien 53 yard field goal,0,3
1,2.0,Cowboys,Timmy Newsome 1 yard rush (Rafael Septien kick),0,10
2,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),7,10
3,2.0,Cowboys,Mike Renfro 55 yard pass from Danny White (Rafael Septien kick),7,17
4,3.0,Cowboys,Rafael Septien 39 yard field goal,7,20
5,3.0,Cowboys,Rafael Septien 43 yard field goal,7,23
6,3.0,Cowboys,Tony Dorsett 9 yard rush (Rafael Septien kick),7,30
7,4.0,Cowboys,Victor Scott 26 yard interception return (Rafael Septien kick),7,37
8,4.0,Redskins,Clint Didier 19 yard pass from Joe Theismann (Mark Moseley kick),14,37
9,4.0,Cowboys,Dennis Thurman 21 yard interception return (Rafael Septien kick),14,44
