,Quarter,Tm,Detail,SDG,CIN
0,1.0,Chargers,Bob Thomas 20 yard field goal,3,0
1,1.0,Bengals,Cris Collinsworth 18 yard pass from Boomer Esiason (Jim Breech kick),3,7
2,2.0,Chargers,Eric Sievers 4 yard pass from Dan Fouts (Bob Thomas kick),10,7
3,2.0,Chargers,Eric Sievers 5 yard pass from Dan Fouts (Bob Thomas kick),17,7
4,2.0,Bengals,James Brooks 1 yard rush,17,13
5,2.0,Chargers,Bob Thomas 28 yard field goal,20,13
6,3.0,Bengals,Cris Collinsworth 16 yard pass from Boomer Esiason (Jim Breech kick),20,20
7,3.0,Chargers,Pete Holohan 3 yard pass from Dan Fouts (Bob Thomas kick),27,20
8,3.0,Bengals,Larry Kinnebrew 4 yard rush (Jim Breech kick),27,27
9,3.0,Bengals,Stanford Jennings 11 yard pass from Boomer Esiason (Jim Breech kick),27,34
10,3.0,Chargers,Lionel James 56 yard rush (Bob Thomas kick),34,34
11,4.0,Bengals,Larry Kinnebrew 8 yard rush (Jim Breech kick),34,41
12,4.0,Chargers,Lionel James 60 yard pass from Dan Fouts (Bob Thomas kick),41,41
13,4.0,Chargers,Bob Thomas 34 yard field goal,44,41
