,Quarter,Tm,Detail,NWE,RAM
0,1.0,Patriots,Tony Franklin 42 yard field goal,3,0
1,1.0,Patriots,Tony Franklin 45 yard field goal,6,0
2,2.0,Patriots,Rod McSwain 31 yard blocked punt return (Tony Franklin kick),13,0
3,2.0,Rams,Henry Ellard 34 yard pass from Jim Everett (Mike Lansford kick),13,7
4,2.0,Rams,Barry Redden 24 yard pass from Jim Everett (Mike Lansford kick),13,14
5,2.0,Patriots,Tony Franklin 19 yard field goal,16,14
6,3.0,Rams,Barry Redden 11 yard rush (Mike Lansford kick),16,21
7,4.0,Rams,Henry Ellard 20 yard pass from Jim Everett (Mike Lansford kick),16,28
8,4.0,Patriots,Irving Fryar 6 yard pass from Tony Eason (Tony Franklin kick),23,28
9,4.0,Patriots,Irving Fryar 25 yard pass from Tony Eason (Tony Franklin kick),30,28
