,Quarter,Tm,Detail,CIN,DEN
0,1.0,Broncos,Rich Karlis 49 yard field goal,0,3
1,1.0,Bengals,Stanley Wilson 20 yard rush (Jim Breech kick),7,3
2,2.0,Broncos,Vance Johnson 4 yard pass from John Elway (Rich Karlis kick),7,10
3,2.0,Bengals,Larry Kinnebrew 5 yard rush (Jim Breech kick),14,10
4,2.0,Broncos,Mark Jackson 19 yard pass from John Elway (Rich Karlis kick),14,17
5,2.0,Broncos,Sammy Winder 8 yard pass from John Elway (Rich Karlis kick),14,24
6,3.0,Broncos,Sammy Winder 11 yard rush (Rich Karlis kick),14,31
7,3.0,Broncos,Rich Karlis 33 yard field goal,14,34
8,4.0,Bengals,Cris Collinsworth 7 yard pass from Boomer Esiason (Jim Breech kick),21,34
9,4.0,Bengals,Cris Collinsworth 46 yard pass from Boomer Esiason (Jim Breech kick),28,34
