,Quarter,Tm,Detail,NYJ,CIN
0,1.0,Jets,Bobby Humphery 96 yard kickoff return (Pat Leahy kick),7,0
1,1.0,Bengals,Stanley Wilson 2 yard rush (Jim Breech kick),7,7
2,2.0,Jets,Freeman McNeil 6 yard rush (Pat Leahy kick),14,7
3,2.0,Bengals,Cris Collinsworth 12 yard pass from Boomer Esiason (Jim Breech kick),14,14
4,2.0,Jets,Freeman McNeil 2 yard rush (Pat Leahy kick),21,14
5,2.0,Bengals,Jim Breech 43 yard field goal,21,17
6,3.0,Bengals,Rodney Holman 34 yard pass from Boomer Esiason (Jim Breech kick),21,24
7,3.0,Bengals,Cris Collinsworth 42 yard pass from Boomer Esiason (Jim Breech kick),21,31
8,3.0,Bengals,Anthony Munoz 2 yard pass from Boomer Esiason (Jim Breech kick),21,38
9,4.0,Bengals,Cris Collinsworth 21 yard pass from Boomer Esiason (Jim Breech kick),21,45
10,4.0,Bengals,Larry Kinnebrew 2 yard rush (Jim Breech kick),21,52
