,Quarter,Tm,Detail,WAS,SDG
0,1.0,Redskins,Mark Moseley 29 yard field goal,3,0
1,1.0,Chargers,Gary Anderson 13 yard pass from Dan Fouts (Rolf Benirschke kick),3,7
2,1.0,Chargers,Buford McGee 1 yard rush (Rolf Benirschke kick),3,14
3,2.0,Chargers,Buford McGee 1 yard rush (Rolf Benirschke kick),3,21
4,2.0,Redskins,George Rogers 2 yard rush (Mark Moseley kick),10,21
5,3.0,Redskins,Mark Moseley 24 yard field goal,13,21
6,3.0,Redskins,Mark Moseley 26 yard field goal,16,21
7,3.0,Chargers,Rolf Benirschke 50 yard field goal,16,24
8,3.0,Redskins,George Rogers 10 yard rush (Mark Moseley kick),23,24
9,4.0,Chargers,Rolf Benirschke 31 yard field goal,23,27
10,4.0,Redskins,Gary Clark 14 yard pass from Jay Schroeder (Mark Moseley kick),30,27
