,Quarter,Tm,Detail,RAM,WAS
0,1.0,Rams,Mike Wilcher 35 yard defensive fumble return (Mike Lansford kick),7,0
1,1.0,Redskins,Art Monk 17 yard pass from Doug Williams,7,6
2,1.0,Redskins,Ali Haji-Sheikh 22 yard field goal,7,9
3,1.0,Rams,Ron Brown 95 yard kickoff return (Mike Lansford kick),14,9
4,2.0,Rams,Mike Lansford 37 yard field goal,17,9
5,2.0,Rams,Charles White 1 yard rush,23,9
6,2.0,Redskins,Doug Williams 1 yard rush (Ali Haji-Sheikh kick),23,16
7,3.0,Redskins,Ali Haji-Sheikh 29 yard field goal,23,19
8,3.0,Rams,Ron Brown 26 yard pass from Jim Everett (Mike Lansford kick),30,19
9,4.0,Redskins,Art Monk 5 yard pass from Doug Williams (Ali Haji-Sheikh kick),30,26
