,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Eddie Murray 53 yard field goal,0,3
1,1.0,Rams,Mike Lansford 48 yard field goal,3,3
2,2.0,Lions,Eddie Murray 39 yard field goal,3,6
3,2.0,Rams,Jon Francis 4 yard pass from Jim Everett (Mike Lansford kick),10,6
4,2.0,Lions,Pete Mandley 3 yard pass from Chuck Long (Eddie Murray kick),10,13
5,3.0,Rams,Charles White 1 yard rush (Mike Lansford kick),17,13
6,3.0,Lions,Eddie Murray 36 yard field goal,17,16
7,3.0,Rams,Mike Lansford 47 yard field goal,20,16
8,4.0,Rams,Henry Ellard 81 yard pass from Jim Everett (Mike Lansford kick),27,16
9,4.0,Rams,Charles White 1 yard rush (Mike Lansford kick),34,16
10,4.0,Rams,Mike Lansford 48 yard field goal,37,16
