,Quarter,Tm,Detail,GNB,NOR
0,1.0,Saints,Morten Andersen 31 yard field goal,0,3
1,1.0,Packers,Walter Stanley 29 yard pass from Don Majkowski (Max Zendejas kick),7,3
2,1.0,Packers,Walter Stanley 39 yard pass from Don Majkowski (Max Zendejas kick),14,3
3,1.0,Saints,Morten Andersen 52 yard field goal,14,6
4,1.0,Saints,Morten Andersen 48 yard field goal,14,9
5,2.0,Packers,Max Zendejas 24 yard field goal,17,9
6,2.0,Saints,Morten Andersen 32 yard field goal,17,12
7,3.0,Saints,Rueben Mayes 3 yard rush (Morten Andersen kick),17,19
8,3.0,Packers,Phil Epps 20 yard pass from Don Majkowski (Max Zendejas kick),24,19
9,3.0,Saints,John Tice 5 yard pass from Bobby Hebert (Morten Andersen kick),24,26
10,4.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),24,33
