,Quarter,Tm,Detail,PHI,WAS
0,1.0,Redskins,Jess Atkinson 27 yard field goal,0,3
1,1.0,Redskins,Art Monk 6 yard pass from Doug Williams (Jess Atkinson kick),0,10
2,2.0,Eagles,Mike Quick 30 yard pass from Randall Cunningham (Paul McFadden kick),7,10
3,2.0,Eagles,Paul McFadden 33 yard field goal,10,10
4,2.0,Redskins,George Rogers 1 yard rush (Steve Cox kick),10,17
5,3.0,Redskins,Reggie Branch 1 yard rush (Steve Cox kick),10,24
6,3.0,Eagles,Randall Cunningham 2 yard rush (Paul McFadden kick),17,24
7,3.0,Eagles,Reggie White 70 yard defensive fumble return (Paul McFadden kick),24,24
8,4.0,Redskins,Art Monk 39 yard pass from Doug Williams (Steve Cox kick),24,31
9,4.0,Redskins,Steve Cox 40 yard field goal,24,34
