,Quarter,Tm,Detail,SFO,CIN
0,1.0,Bengals,Larry Kinnebrew 2 yard rush (Jim Breech kick),0,7
1,1.0,Bengals,Jim Breech 23 yard field goal,0,10
2,2.0,49ers,Mike Wilson 38 yard pass from Joe Montana (Ray Wersching kick),7,10
3,2.0,Bengals,Rodney Holman 46 yard pass from Boomer Esiason (Jim Breech kick),7,17
4,2.0,Bengals,Jim Breech 42 yard field goal,7,20
5,3.0,49ers,Jerry Rice 34 yard pass from Joe Montana (Ray Wersching kick),14,20
6,3.0,49ers,Ray Wersching 24 yard field goal,17,20
7,3.0,49ers,Ray Wersching 31 yard field goal,20,20
8,4.0,Bengals,Jim Breech 41 yard field goal,20,23
9,4.0,Bengals,Jim Breech 46 yard field goal,20,26
10,4.0,49ers,Jerry Rice 25 yard pass from Joe Montana (Ray Wersching kick),27,26
