,Quarter,Tm,Detail,ATL,HOU
0,1.0,Falcons,Mick Luckhurst 39 yard field goal,3,0
1,1.0,Oilers,Tony Zendejas 31 yard field goal,3,3
2,2.0,Falcons,Mick Luckhurst 37 yard field goal,6,3
3,2.0,Oilers,Tony Zendejas 43 yard field goal,6,6
4,2.0,Falcons,Floyd Dixon 10 yard pass from Scott Campbell (Mick Luckhurst kick),13,6
5,2.0,Oilers,Curtis Duncan 41 yard pass from Warren Moon (Tony Zendejas kick),13,13
6,3.0,Oilers,Ernest Givins 8 yard pass from Warren Moon (Tony Zendejas kick),13,20
7,3.0,Falcons,Stacey Bailey 29 yard pass from Scott Campbell (Mick Luckhurst kick),20,20
8,3.0,Falcons,Ken Whisenhunt 3 yard pass from Scott Campbell (Mick Luckhurst kick),27,20
9,4.0,Oilers,Mike Rozier 14 yard rush (Tony Zendejas kick),27,27
10,4.0,Oilers,Tony Zendejas 24 yard field goal,27,30
11,4.0,Falcons,Mick Luckhurst 45 yard field goal,30,30
12,4.0,Falcons,Mick Luckhurst 18 yard field goal,33,30
13,4.0,Oilers,Curtis Duncan 14 yard pass from Warren Moon (Tony Zendejas kick),33,37
