,Quarter,Tm,Detail,SEA,RAI
0,1.0,Raiders,Tim Brown 2 yard rush (Chris Bahr kick),0,7
1,1.0,Seahawks,Steve Largent 35 yard pass from Dave Krieg (Norm Johnson kick),7,7
2,1.0,Seahawks,Brian Blades 17 yard pass from Dave Krieg (Norm Johnson kick),14,7
3,2.0,Raiders,Willie Gault 51 yard pass from Jay Schroeder (Chris Bahr kick),14,14
4,2.0,Seahawks,Norm Johnson 39 yard field goal,17,14
5,2.0,Raiders,Chris Bahr 26 yard field goal,17,17
6,2.0,Seahawks,Norm Johnson 24 yard field goal,20,17
7,2.0,Seahawks,Norm Johnson 40 yard field goal,23,17
8,3.0,Seahawks,Brian Blades 30 yard pass from Dave Krieg (Norm Johnson kick),30,17
9,3.0,Raiders,Chris Bahr 28 yard field goal,30,20
10,3.0,Seahawks,John Williams 75 yard pass from Dave Krieg (Norm Johnson kick),37,20
11,3.0,Raiders,Steve Smith 4 yard pass from Jay Schroeder (Chris Bahr kick),37,27
12,4.0,Seahawks,Norm Johnson 35 yard field goal,40,27
13,4.0,Raiders,Mervyn Fernandez 54 yard pass from Jay Schroeder (Chris Bahr kick),40,34
14,4.0,Seahawks,Norm Johnson 32 yard field goal,43,34
15,4.0,Raiders,Chris Bahr 24 yard field goal,43,37
