,Quarter,Tm,Detail,NYJ,CIN
0,1.0,Jets,"Safety, Lyons tackled Esiason in end zone",2,0
1,1.0,Jets,Roger Vick 1 yard rush (Pat Leahy kick),9,0
2,1.0,Bengals,Eddie Brown 60 yard pass from Boomer Esiason,9,6
3,2.0,Bengals,Eddie Brown 8 yard pass from Boomer Esiason,9,12
4,2.0,Jets,Pat Leahy 30 yard field goal,12,12
5,2.0,Bengals,Tim McGee 38 yard pass from Boomer Esiason (Jim Breech kick),12,19
6,3.0,Jets,Al Toon 11 yard pass from Ken O'Brien (Pat Leahy kick),19,19
7,3.0,Bengals,Ickey Woods 5 yard rush (Jim Breech kick),19,26
8,4.0,Bengals,Ickey Woods 17 yard rush (Jim Breech kick),19,33
9,4.0,Bengals,Jim Breech 25 yard field goal,19,36
