,Quarter,Tm,Detail,PIT,TAM
0,1.0,Steelers,Tim Worley 1 yard rush (Gary Anderson kick),7,0
1,1.0,Buccaneers,Mark Carrier 7 yard pass from Joe Ferguson (Donald Igwebuike kick),7,7
2,2.0,Steelers,Louis Lipps 79 yard pass from Bubby Brister (Gary Anderson kick),14,7
3,2.0,Buccaneers,Donald Igwebuike 45 yard field goal,14,10
4,2.0,Steelers,Louis Lipps 12 yard pass from Bubby Brister (Gary Anderson kick),21,10
5,2.0,Steelers,Gary Anderson 32 yard field goal,24,10
6,3.0,Buccaneers,Donald Igwebuike 24 yard field goal,24,13
7,3.0,Steelers,Tim Worley 1 yard rush (Gary Anderson kick),31,13
8,4.0,Buccaneers,"Safety, Cocroft blocked punt out of end zone",31,15
9,4.0,Buccaneers,Mark Carrier 39 yard pass from Joe Ferguson (Donald Igwebuike kick),31,22
