,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Mike Lansford 39 yard field goal,0,3
1,1.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),0,10
2,2.0,Packers,Don Majkowski 8 yard rush (Chris Jacke kick),7,10
3,2.0,Rams,Buford McGee 4 yard pass from Jim Everett (Mike Lansford kick),7,17
4,2.0,Rams,Vince Newsome 81 yard interception return (Mike Lansford kick),7,24
5,2.0,Rams,Greg Bell 45 yard rush (Mike Lansford kick),7,31
6,2.0,Rams,Damone Johnson 4 yard pass from Jim Everett (Mike Lansford kick),7,38
7,3.0,Packers,Sterling Sharpe 18 yard pass from Don Majkowski (Chris Jacke kick),14,38
8,3.0,Packers,Brent Fullwood 11 yard rush (Chris Jacke kick),21,38
9,3.0,Packers,Ed West 1 yard pass from Don Majkowski (Chris Jacke kick),28,38
10,4.0,Packers,Chris Jacke 43 yard field goal,31,38
11,4.0,Rams,Mike Lansford 45 yard field goal,31,41
12,4.0,Packers,Brent Fullwood 1 yard rush (Chris Jacke kick),38,41
