,Quarter,Tm,Detail,PIT,HOU
0,1,Steelers,Tim Worley 9 yard rush (Gary Anderson kick),7,0
1,2,Oilers,Tony Zendejas 26 yard field goal,7,3
2,2,Oilers,Tony Zendejas 35 yard field goal,7,6
3,2,Steelers,Gary Anderson 25 yard field goal,10,6
4,3,Oilers,Tony Zendejas 26 yard field goal,10,9
5,3,Steelers,Gary Anderson 30 yard field goal,13,9
6,4,Steelers,Gary Anderson 48 yard field goal,16,9
7,4,Oilers,Ernest Givins 18 yard pass from Warren Moon (Tony Zendejas kick),16,16
8,4,Oilers,Ernest Givins 9 yard pass from Warren Moon (Tony Zendejas kick),16,23
9,4,Steelers,Merril Hoge 2 yard rush (Gary Anderson kick),23,23
10,OT,Steelers,Gary Anderson 50 yard field goal,26,23
