,Quarter,Tm,Detail,GNB,RAI
0,1.0,Raiders,Marcus Allen 5 yard rush (Jeff Jaeger kick),0,7
1,1.0,Packers,Chris Jacke 39 yard field goal,3,7
2,1.0,Raiders,Marcus Allen 2 yard rush,3,13
3,2.0,Packers,Chris Jacke 51 yard field goal,6,13
4,2.0,Packers,Chris Jacke 32 yard field goal,9,13
5,2.0,Packers,Vince Workman 5 yard pass from Don Majkowski (Chris Jacke kick),16,13
6,2.0,Raiders,Jeff Jaeger 24 yard field goal,16,16
7,3.0,Packers,Chris Jacke 23 yard field goal,19,16
8,4.0,Packers,Perry Kemp 28 yard pass from Don Majkowski (Chris Jacke kick),26,16
9,4.0,Packers,Chris Jacke 20 yard field goal,29,16
