,Quarter,Tm,Detail,WAS,IND
0,1.0,Redskins,Art Monk 12 yard pass from Mark Rypien (Chip Lohmiller kick),7,0
1,2.0,Colts,Eric Dickerson 4 yard rush (Dean Biasucci kick),7,7
2,2.0,Colts,Stanley Morgan 42 yard pass from Jeff George (Dean Biasucci kick),7,14
3,2.0,Redskins,Chip Lohmiller 53 yard field goal,10,14
4,2.0,Redskins,Chip Lohmiller 56 yard field goal,13,14
5,3.0,Redskins,"Safety, George intentional grounding in end zone",15,14
6,3.0,Redskins,Chip Lohmiller 29 yard field goal,18,14
7,4.0,Redskins,Gary Clark 53 yard pass from Mark Rypien (Chip Lohmiller kick),25,14
8,4.0,Colts,Stanley Morgan 8 yard pass from Jeff George (Dean Biasucci kick),25,21
9,4.0,Redskins,Chip Lohmiller 27 yard field goal,28,21
10,4.0,Colts,Bill Brooks 12 yard pass from Jeff George (Dean Biasucci kick),28,28
11,4.0,Colts,Alan Grant 25 yard interception return (Dean Biasucci kick),28,35
