,Quarter,Tm,Detail,NYJ,CIN
0,2.0,Bengals,Jim Breech 43 yard field goal,0,3
1,2.0,Jets,Al Toon 46 yard pass from Ken O'Brien (Pat Leahy kick),7,3
2,2.0,Jets,Pat Leahy 33 yard field goal,10,3
3,3.0,Bengals,Eddie Brown 10 yard pass from Boomer Esiason (Jim Breech kick),10,10
4,3.0,Jets,Al Toon 9 yard pass from Ken O'Brien (Pat Leahy kick),17,10
5,4.0,Jets,Pat Leahy 26 yard field goal,20,10
6,4.0,Bengals,James Brooks 3 yard pass from Boomer Esiason (Jim Breech kick),20,17
7,4.0,Bengals,"Safety, Fulcher tackled OBrien in end zone",20,19
8,4.0,Bengals,Jim Breech 44 yard field goal,20,22
9,4.0,Bengals,Jim Breech 37 yard field goal,20,25
