,Quarter,Tm,Detail,SEA,NWE
0,1.0,Seahawks,Derrick Fenner 5 yard rush,6,0
1,1.0,Seahawks,Tommy Kane 20 yard pass from Dave Krieg (Norm Johnson kick),13,0
2,1.0,Patriots,Jason Staurovsky 53 yard field goal,13,3
3,2.0,Seahawks,Norm Johnson 31 yard field goal,16,3
4,2.0,Seahawks,Norm Johnson 19 yard field goal,19,3
5,2.0,Patriots,Brent Williams 45 yard defensive fumble return (Jason Staurovsky kick),19,10
6,3.0,Patriots,Hart Lee Dykes 35 yard pass from Marc Wilson (Jason Staurovsky kick),19,17
7,4.0,Patriots,Jason Staurovsky 48 yard field goal,19,20
8,4.0,Seahawks,Jeff Chadwick 45 yard pass from Dave Krieg (Norm Johnson kick),26,20
9,4.0,Seahawks,Derrick Fenner 5 yard rush (Norm Johnson kick),33,20
